Race,State,Police Funding,Year,Number of Deaths,Population,Funding/Person,Count,Death Rate,Death Rate (10^-5)
Asian,Wisconsin,1764491,2014,1,5751525,0.306786635,154652,6.46613E-06,0.646613041
Black,Wisconsin,1764491,2014,3,5751525,0.306786635,379440,7.90639E-06,0.790638836
White,Wisconsin,1764491,2014,5,5751525,0.306786635,5048909,9.90313E-07,0.099031296
Black,Wisconsin,1818287,2015,2,5760940,0.315623318,381794,5.23843E-06,0.523842701
White,Wisconsin,1818287,2015,6,5760940,0.315623318,5045983,1.18906E-06,0.118906465
Black,Wisconsin,1894438,2016,5,5772628,0.328176006,384254,1.30122E-05,1.301222629
White,Wisconsin,1894438,2016,12,5772628,0.328176006,5045904,2.37817E-06,0.237816653
Asian,Wisconsin,1850700,2017,1,5790186,0.319627038,170521,5.86438E-06,0.586438034
Black,Wisconsin,1850700,2017,7,5790186,0.319627038,387433,1.80676E-05,1.806764008
Native American,Wisconsin,1850700,2017,3,5790186,0.319627038,67079,4.47234E-05,4.472338586
White,Wisconsin,1850700,2017,15,5790186,0.319627038,5051222,2.96958E-06,0.296957845
Asian,Wisconsin,1903477,2018,1,5807406,0.327767165,172742,5.78898E-06,0.57889801
Black,Wisconsin,1903477,2018,3,5807406,0.327767165,389652,7.69918E-06,0.769917773
Native American,Wisconsin,1903477,2018,2,5807406,0.327767165,67794,2.95011E-05,2.950113579
White,Wisconsin,1903477,2018,6,5807406,0.327767165,5060128,1.18574E-06,0.118574076
Black,West Virginia,360686,2013,1,1853914,0.194553793,65312,1.53111E-05,1.5311122
White,West Virginia,360686,2013,6,1853914,0.194553793,1740885,3.44652E-06,0.344652289
Black,West Virginia,366881,2014,1,1849489,0.198368847,65453,1.52781E-05,1.527813851
White,West Virginia,366881,2014,5,1849489,0.198368847,1735081,2.88171E-06,0.288170985
Black,West Virginia,373308,2015,2,1842050,0.202658994,65462,3.05521E-05,3.055207601
White,West Virginia,373308,2015,7,1842050,0.202658994,1726430,4.05461E-06,0.40546098
Black,West Virginia,387736,2016,1,1831023,0.211759219,65227,1.53311E-05,1.533107456
White,West Virginia,387736,2016,11,1831023,0.211759219,1714557,6.41565E-06,0.641565139
Black,West Virginia,398189,2017,1,1817004,0.219145913,64904,1.54074E-05,1.540737089
White,West Virginia,398189,2017,9,1817004,0.219145913,1700408,5.29285E-06,0.529284736
Black,West Virginia,403004,2018,3,1804291,0.223358649,64776,4.63134E-05,4.631344943
White,West Virginia,403004,2018,4,1804291,0.223358649,1687369,2.37055E-06,0.23705544
White,Wyoming,218649,2013,1,582122,0.375606832,541207,1.84772E-06,0.184772185
White,Wyoming,216236,2014,2,582531,0.371200846,541752,3.69173E-06,0.36917261
Native American,Wyoming,222334,2015,1,585613,0.379660288,15830,6.31712E-05,6.317119394
White,Wyoming,222334,2015,4,585613,0.379660288,544435,7.34707E-06,0.734706622
White,Wyoming,233497,2016,1,584215,0.399676489,542675,1.84272E-06,0.184272355
White,Wyoming,224009,2017,1,578931,0.386935576,537032,1.86209E-06,0.186208643
White,Wyoming,222513,2018,3,577601,0.385236521,534974,5.60775E-06,0.560774916
