City,RequiresDeEscalation,HasUseOfForceContinuum,BansChokeholdsAndStrangleholds,RequiresWarningBeforeShooting,RestrictsShootingatMovingVehicles,RequiresExhaustAllOtherMeansBeforeShooting,DutyToIntervene,RequiresComprehensiveReporting,TotalNumOfPolicies,TotalDeathArrests,Black,White,IndianAmerican,Asian,Hawaiian,Asian/Pacific Islander,Other,"Two or
more races",Hispanic
Louisville,1,1,,1,,1,,,4,"3,792,621","347,380","1,086,908","6,589","420,212","4,300",424512,"12,057","76,353","1,838,822"
Lubbock,,1,,,,1,,,2,"597,337","135,138","408,157","1,289","12,764",347,13111,"1,018","11,834","26,790"
Madison,1,1,1,1,,1,1,1,7,"229,573","18,744","127,915",845,"5,471",147,5618,241,"2,585","73,625"
Memphis,,1,,1,,1,,,3,"233,209","16,507","176,463",763,"17,126",67,17193,374,"5,961","15,948"
Mesa,,1,,1,,,,,2,"646,889","408,075","177,735","1,186","10,067",159,10226,742,"6,931","41,994"
Miami,1,1,1,1,,1,1,,6,"439,041","14,101","282,505","8,359","8,174","1,532",9706,555,"8,062","115,753"
Milwaukee,,1,,1,,,1,,3,"601,222","169,272","338,782","1,418","18,497",275,18772,"1,155","11,433","60,390"
Minneapolis,1,1,,1,,,1,,4,"399,457","64,993","47,622",361,"3,649",58,3707,676,"2,642","279,456"
Nashville,,1,,1,,1,,,3,"594,833","233,325","220,219","3,408","20,553",195,20748,819,"13,307","103,007"
New Orleans,1,1,1,,1,,1,1,6,"382,578","69,971","230,650","6,351","21,399",168,21567,962,"13,004","40,073"
New York,1,1,,,1,,1,,4,"343,829","204,866","104,770",827,"9,883",105,9988,967,"4,360","18,051"
Newark,,1,,1,,1,1,,4,"8,175,133","1,861,295","2,722,904","17,427","1,028,119","2,795",1030914,"57,841","148,676","2,336,076"
Norfolk,1,1,,,,,1,,3,"277,140","138,074","32,122",713,"4,318",68,4386,"3,899","4,200","93,746"
North Las Vegas,,,,,,1,,,1,"242,803","102,452","107,463",935,"7,861",359,8220,471,"7,118","16,144"
Oakland,1,1,,,,1,1,1,5,"216,961","41,561","67,687",871,"13,122","1,684",14806,377,"7,525","84,134"
Oklahoma City,1,1,,1,,1,1,,5,"390,724","106,637","101,308","1,214","65,127","2,081",67208,"1,213","14,076","99,068"
Omaha,,1,,1,,,,,2,"579,999","85,744","328,582","18,208","23,051",464,23515,700,"23,212","100,038"
Orlando,,1,,,1,,1,,3,"408,958","55,128","278,172","2,263","9,889",253,10142,806,"8,894","53,553"
Philadelphia,1,1,1,1,1,1,1,,7,"238,300","63,584","98,533",483,"8,756",130,8886,"1,688","4,643","60,483"
Phoenix,,1,,1,,,1,1,4,"1,526,006","644,287","562,585","3,498","95,521",457,95978,"4,105","27,942","187,611"
Pittsburgh,1,1,1,1,,,,,4,"1,445,632","86,788","672,573","23,327","43,894","2,055",45949,"2,242","24,876","589,877"
Plano,,1,1,1,,1,,1,5,"305,704","78,847","198,186",505,"13,393",76,13469,843,"6,890","6,964"
Portland,1,1,,1,,,1,1,5,"259,841","19,199","151,629",831,"43,659",121,43780,449,"5,779","38,174"
